presidente,mes_pesquisa,ano_pesquisa,data_pesquisa,resposta,segmento,valor
jair_bolsonaro,set,2019,09/2019,otimo,total,8
jair_bolsonaro,set,2019,09/2019,bom,total,23
jair_bolsonaro,set,2019,09/2019,regular,total,32
jair_bolsonaro,set,2019,09/2019,ruim,total,10
jair_bolsonaro,set,2019,09/2019,pessimo,total,24
jair_bolsonaro,set,2019,09/2019,nao_sabe_nao_respondeu,total,3
jair_bolsonaro,set,2019,09/2019,otimo,masculino,9
jair_bolsonaro,set,2019,09/2019,bom,masculino,26
jair_bolsonaro,set,2019,09/2019,regular,masculino,34
jair_bolsonaro,set,2019,09/2019,ruim,masculino,8
jair_bolsonaro,set,2019,09/2019,pessimo,masculino,20
jair_bolsonaro,set,2019,09/2019,nao_sabe_nao_respondeu,masculino,2
jair_bolsonaro,set,2019,09/2019,otimo,feminino,7
jair_bolsonaro,set,2019,09/2019,bom,feminino,20
jair_bolsonaro,set,2019,09/2019,regular,feminino,30
jair_bolsonaro,set,2019,09/2019,ruim,feminino,13
jair_bolsonaro,set,2019,09/2019,pessimo,feminino,28
jair_bolsonaro,set,2019,09/2019,nao_sabe_nao_respondeu,feminino,3
jair_bolsonaro,set,2019,09/2019,otimo,16_24_anos,4
jair_bolsonaro,set,2019,09/2019,bom,16_24_anos,20
jair_bolsonaro,set,2019,09/2019,regular,16_24_anos,39
jair_bolsonaro,set,2019,09/2019,ruim,16_24_anos,8
jair_bolsonaro,set,2019,09/2019,pessimo,16_24_anos,27
jair_bolsonaro,set,2019,09/2019,nao_sabe_nao_respondeu,16_24_anos,2
jair_bolsonaro,set,2019,09/2019,otimo,25_34_anos,8
jair_bolsonaro,set,2019,09/2019,bom,25_34_anos,23
jair_bolsonaro,set,2019,09/2019,regular,25_34_anos,32
jair_bolsonaro,set,2019,09/2019,ruim,25_34_anos,12
jair_bolsonaro,set,2019,09/2019,pessimo,25_34_anos,24
jair_bolsonaro,set,2019,09/2019,nao_sabe_nao_respondeu,25_34_anos,1
jair_bolsonaro,set,2019,09/2019,otimo,35_44_anos,9
jair_bolsonaro,set,2019,09/2019,bom,35_44_anos,24
jair_bolsonaro,set,2019,09/2019,regular,35_44_anos,29
jair_bolsonaro,set,2019,09/2019,ruim,35_44_anos,9
jair_bolsonaro,set,2019,09/2019,pessimo,35_44_anos,25
jair_bolsonaro,set,2019,09/2019,nao_sabe_nao_respondeu,35_44_anos,3
jair_bolsonaro,set,2019,09/2019,otimo,45_54_anos,9
jair_bolsonaro,set,2019,09/2019,bom,45_54_anos,20
jair_bolsonaro,set,2019,09/2019,regular,45_54_anos,28
jair_bolsonaro,set,2019,09/2019,ruim,45_54_anos,13
jair_bolsonaro,set,2019,09/2019,pessimo,45_54_anos,27
jair_bolsonaro,set,2019,09/2019,nao_sabe_nao_respondeu,45_54_anos,3
jair_bolsonaro,set,2019,09/2019,otimo,55_anos_mais,10
jair_bolsonaro,set,2019,09/2019,bom,55_anos_mais,25
jair_bolsonaro,set,2019,09/2019,regular,55_anos_mais,32
