DATA_PESQUISA,POSITIVA,NEGATIVA,ERRO,PRESIDENTE,SEGMENTO
1986-03-15,71.0,2.0,3.0,José Sarney,total
1987-03-15,33.0,19.0,3.0,José Sarney,total
1989-11-15,9.0,60.0,3.0,José Sarney,total
1989-04-15,10.0,54.0,3.0,José Sarney,total
1987-05-15,9.0,54.0,3.0,José Sarney,total
1987-11-15,11.0,58.0,3.0,José Sarney,total
1988-03-15,10.0,65.0,3.0,José Sarney,total
1988-10-15,7.0,65.0,3.0,José Sarney,total
1988-12-15,8.0,65.0,3.0,José Sarney,total
1989-03-15,7.0,62.0,3.0,José Sarney,total
1989-09-15,5.0,68.0,3.0,José Sarney,total
1990-01-15,7.0,64.0,3.0,José Sarney,total
1990-03-15,9.0,56.0,3.0,José Sarney,total
1990-03-15,71.0,4.0,3.0,Fernando Collor,total
1990-06-15,36.0,19.0,2.0,Fernando Collor,total
1990-09-15,34.0,20.0,2.0,Fernando Collor,total
1991-03-15,23.0,34.0,2.0,Fernando Collor,total
1991-08-15,18.0,41.0,2.0,Fernando Collor,total
1992-03-15,15.0,48.0,2.0,Fernando Collor,total
1992-08-15,9.0,68.0,2.0,Fernando Collor,total
1992-09-15,18.0,21.0,2.0,Itamar Franco,total
1992-12-15,34.0,11.0,2.0,Itamar Franco,total
1993-02-15,36.0,8.0,2.0,Itamar Franco,total
1993-03-15,24.0,18.0,2.0,Itamar Franco,total
1993-03-15,21.0,21.0,2.0,Itamar Franco,total
1993-04-15,17.0,27.0,2.0,Itamar Franco,total
1993-05-15,19.0,26.0,2.0,Itamar Franco,total
1993-06-15,17.0,27.0,2.0,Itamar Franco,total
1993-08-15,15.0,34.0,2.0,Itamar Franco,total
1993-11-15,12.0,41.0,2.0,Itamar Franco,total
1993-12-15,18.0,34.0,2.0,Itamar Franco,total
1994-03-15,15.0,37.0,2.0,Itamar Franco,total
1994-04-15,16.0,38.0,2.0,Itamar Franco,total
1994-08-15,37.0,13.0,2.0,Itamar Franco,total
1994-09-15,32.0,13.0,2.0,Itamar Franco,total
1994-10-15,40.0,10.0,2.0,Itamar Franco,total
1994-12-14,41.0,8.0,2.0,Itamar Franco,total
1995-03-15,39.0,16.0,2.0,Fernando Henrique Cardoso,total
1995-06-15,40.0,17.0,2.0,Fernando Henrique Cardoso,total
1995-09-15,42.0,15.0,2.0,Fernando Henrique Cardoso,total
1995-12-15,41.0,15.0,2.0,Fernando Henrique Cardoso,total
1996-06-15,30.0,25.0,2.0,Fernando Henrique Cardoso,total
1996-09-15,43.0,17.0,2.0,Fernando Henrique Cardoso,total
1996-12-15,47.0,12.0,2.0,Fernando Henrique Cardoso,total
1997-05-15,42.0,18.0,2.0,Fernando Henrique Cardoso,total
1997-06-15,39.0,16.0,2.0,Fernando Henrique Cardoso,total
1997-09-15,43.0,15.0,2.0,Fernando Henrique Cardoso,total
1997-12-15,37.0,20.0,2.0,Fernando Henrique Cardoso,total
1998-03-15,38.0,21.0,2.0,Fernando Henrique Cardoso,total
1998-04-15,35.0,21.0,2.0,Fernando Henrique Cardoso,total
1998-05-15,31.0,24.0,2.0,Fernando Henrique Cardoso,total
1998-06-15,31.0,25.0,2.0,Fernando Henrique Cardoso,total
1998-07-15,38.0,19.0,2.0,Fernando Henrique Cardoso,total
1998-08-15,40.0,18.0,2.0,Fernando Henrique Cardoso,total
1998-09-15,43.0,17.0,2.0,Fernando Henrique Cardoso,total
1998-12-15,35.0,25.0,2.0,Fernando Henrique Cardoso,total
1999-02-15,21.0,36.0,2.0,Fernando Henrique Cardoso,total
1999-06-15,16.0,44.0,2.0,Fernando Henrique Cardoso,total
1999-09-15,13.0,56.0,2.0,Fernando Henrique Cardoso,total
1999-12-15,16.0,46.0,2.0,Fernando Henrique Cardoso,total
2000-03-15,18.0,43.0,2.0,Fernando Henrique Cardoso,total
2000-06-15,19.0,41.0,2.0,Fernando Henrique Cardoso,total
