PRESIDENTE,DATA,POSITIVA,REGULAR,NEGATIVA,NAO_SABE,SEGMENTO
José Sarney,1986-03-01,71,26,2,1,total
José Sarney,1986-12-01,34,45,20,1,total
José Sarney,1987-03-01,33,46,19,2,total
José Sarney,1987-12-01,16,38,44,2,total
José Sarney,1989-04-01,10,35,54,2,total
José Sarney,1989-05-01,9,33,56,2,total
José Sarney,1989-06-01,7,29,62,2,total
José Sarney,1989-07-01,7,28,64,2,total
José Sarney,1989-11-01,9,28,60,3,total
Fernando Collor,1990-05-01,45,39,12,5,total
Fernando Collor,1990-07-01,33,45,20,2,total
Fernando Collor,1990-08-01,35,44,19,2,total
Fernando Collor,1990-12-01,30,45,24,2,total
Fernando Collor,1991-02-01,27,44,27,2,total
Fernando Collor,1991-04-01,24,44,32,2,total
Fernando Collor,1991-08-01,20,44,32,2,total
Fernando Collor,1992-02-01,14,38,46,3,total
Fernando Collor,1992-04-01,17,41,39,3,total
Fernando Collor,1992-05-01,17,40,41,3,total
Fernando Collor,1992-08-01,12,23,59,6,total
Itamar Franco,1992-11-01,35,37,11,18,total
Itamar Franco,1993-01-01,34,44,9,13,total
Itamar Franco,1993-05-01,17,51,26,6,total
Itamar Franco,1993-08-01,15,42,37,6,total
Itamar Franco,1994-01-01,12,42,40,6,total
Itamar Franco,1994-03-01,19,45,32,4,total
Itamar Franco,1994-04-01,15,46,36,5,total
Itamar Franco,1994-07-01,30,49,16,5,total
Itamar Franco,1994-09-01,33,47,15,5,total
Itamar Franco,1994-12-01,46,38,11,4,total
Fernando Henrique Cardoso,1995-03-01,41,43,12,3,total
Fernando Henrique Cardoso,1995-06-01,42,38,16,4,total
Fernando Henrique Cardoso,1995-09-01,40,43,15,3,total
Fernando Henrique Cardoso,1995-11-01,43,40,15,2,total
Fernando Henrique Cardoso,1996-02-01,41,39,17,3,total
Fernando Henrique Cardoso,1996-05-01,35,37,24,4,total
Fernando Henrique Cardoso,1996-08-01,38,40,19,2,total
Fernando Henrique Cardoso,1996-11-01,46,36,16,2,total
Fernando Henrique Cardoso,1997-03-01,51,34,14,2,total
